,artist_name,track_name,track_id,popularity
349,Juice WRLD,Burn,0QwKxajohg1rAMMmv1AWe1,83
350,Juice WRLD,Juice WRLD Speaks 2,2pumRJcJLkPPejrEvwLAlu,74
351,Juice WRLD,Already Dead,7qM1BWAsZMTYh4BcYLb0uQ,88
352,Juice WRLD,Wishing Well,2U5WueTLIK5WJLD7mvDODv,85
353,Juice WRLD,Juice WRLD Speaks,1fw2lym3kCvhxbIs8UQGHk,74
354,Eminem,Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ,86
355,Juice WRLD,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,88
356,Juice WRLD,Juice WRLD Speaks From Heaven - Outro,1OjiYjgPZyxS0AiXiSnuYI,61
357,Juice WRLD,Wandered To LA (with Justin Bieber),5J6rTmMjF9DVIAF8G3M9n4,86
358,Juice WRLD,Robbery,6Hj9jySrnFppAI0sEMCZpJ,86
359,Juice WRLD,Burn,0QwKxajohg1rAMMmv1AWe1,83
360,Brenda Lee,Rockin' Around The Christmas Tree,2EjXfH91m7f8HiJN1yQg97,94
361,Brenda Lee,Silent Night,0FgRRFGfk9OwwbL1xaepiS,27
362,Brenda Lee,Rockin' Around the Christmas Tree,09OojFvtrM9YRzRjnXqJjA,75
363,Brenda Lee,Silent Night - Rerecorded Version,0tnrdzVFNxP7ihDCYkKFOV,23
364,Brenda Lee,Rockin' Around the Christmas Tree,6DZ0ut4MATfUe4YMsNOPHy,72
365,Brenda Lee,Jingle Bell Rock,0MKnGJzNdEqOscI6xu9R3m,66
366,Brenda Lee,Silent Night,12NdcmM8QnG6dWXW7hZ2XV,15
367,Brenda Lee,Rockin' Around The Christmas Tree - Single Version,73ntXYHaz545meJDF3AICU,1
368,Brenda Lee,A Marshmallow World,6Eh1XqjaOX2BVL0hVCnwb0,62
369,Brenda Lee,Silent Night - Re-Recorded Version,6fh0ZLnQw66CnuuaUzwc1P,2
370,Juice WRLD,Juice WRLD Speaks 2,2pumRJcJLkPPejrEvwLAlu,74
371,Juice WRLD,Already Dead,7qM1BWAsZMTYh4BcYLb0uQ,88
372,Juice WRLD,Wishing Well,2U5WueTLIK5WJLD7mvDODv,85
373,Juice WRLD,Juice WRLD Speaks,1fw2lym3kCvhxbIs8UQGHk,74
374,Eminem,Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ,86
375,Juice WRLD,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,88
376,Juice WRLD,Juice WRLD Speaks From Heaven - Outro,1OjiYjgPZyxS0AiXiSnuYI,61
377,Juice WRLD,Wandered To LA (with Justin Bieber),5J6rTmMjF9DVIAF8G3M9n4,86
378,Juice WRLD,Robbery,6Hj9jySrnFppAI0sEMCZpJ,86
379,Juice WRLD,Burn,0QwKxajohg1rAMMmv1AWe1,83
380,Mariah Carey,All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,97
381,Mariah Carey,Vision of Love,0gLQ6jhJsyYfl7PrD1RZ7X,60
382,Mariah Carey,Christmas (Baby Please Come Home),3PIDciSFdrQxSQSihim3hN,86
383,Mariah Carey,Dreamlover,6HcQZfMrw3KwGyzrKw1Pjy,61
384,Mariah Carey,Oh Santa! (feat. Ariana Grande & Jennifer Hudson),1Ri9P0ZPrqr6h0REDRdJBd,80
385,Mariah Carey,We Belong Together,3LmvfNUQtglbTrydsdIqFU,72
386,Mariah Carey,Fantasy (feat. O.D.B.) - Bad Boy Fantasy,10uRkDT2LoYDJnzgacTXKx,39
387,Mariah Carey,Fantasy,6xkryXuiZU360Lngd4sx13,77
388,Mariah Carey,It's Like That,7zL9xrz5krsuC6qVNluQQw,58
