song_url,track_name,artist_name,date,position,streams,rank
https://open.spotify.com/track/1fw2lym3kCvhxbIs8UQGHk,Juice WRLD Speaks,Juice WRLD,2021-12-10,45,"603,444",45
https://open.spotify.com/track/2pumRJcJLkPPejrEvwLAlu,Juice WRLD Speaks 2,Juice WRLD,2021-12-10,46,"586,957",46
https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT,traitor,Olivia Rodrigo,2021-12-10,47,"580,161",47
https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5,Underneath the Tree,Kelly Clarkson,2021-12-10,48,"576,767",48
https://open.spotify.com/track/2pXpURmn6zC5ZYDMms6fwa,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),"Perry Como, The Fontane Sisters",2021-12-10,49,"559,871",49
https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4,Woman,Doja Cat,2021-12-10,50,"558,173",50
https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG,Way 2 Sexy (with Future & Young Thug),Drake,2021-12-10,51,"552,158",51
https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk,Dark Red,Steve Lacy,2021-12-10,52,"542,630",52
https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA,Mistletoe,Justin Bieber,2021-12-10,53,"537,229",53
https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39,Cold Heart - PNAU Remix,"Elton John, Dua Lipa",2021-12-10,54,"528,242",54
https://open.spotify.com/track/1SV1fxF65n9NhRHp3KlBuu,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,2021-12-10,55,"527,253",55
https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG,Meet Me At Our Spot,"THE ANXIETY, WILLOW, Tyler Cole",2021-12-10,56,"522,938",56
https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5,Shivers,Ed Sheeran,2021-12-10,57,"520,033",57
https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH,drivers license,Olivia Rodrigo,2021-12-10,58,"515,741",58
https://open.spotify.com/track/7uLFOXgLrS90tEYPO1DGXy,Man in the Mirror,A Boogie Wit da Hoodie,2021-12-10,59,"507,130",59
https://open.spotify.com/track/47ohYW8e7dxCYn9qbUMBCI,Christmas (Baby Please Come Home),Darlene Love,2021-12-10,60,"506,809",60
https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH,Better Days (NEIKED x Mae Muller x Polo G),NEIKED,2021-12-10,61,"502,124",61
https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE,Holly Jolly Christmas,Michael Bublé,2021-12-10,62,"501,599",62
https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood,2021-12-10,63,"498,816",63
https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8,Happier Than Ever,Billie Eilish,2021-12-10,64,"497,437",64
https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,2021-12-10,65,"491,674",65
https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg,RAPSTAR,Polo G,2021-12-10,66,"484,763",66
https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr,deja vu,Olivia Rodrigo,2021-12-10,67,"482,653",67
https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W,MONTERO (Call Me By Your Name),Lil Nas X,2021-12-10,68,"480,995",68
https://open.spotify.com/track/27RYrbL6S02LNVhDWVl38b,Happy Xmas (War Is Over) - Remastered 2010,"John Lennon, Yoko Ono",2021-12-10,69,"470,467",69
https://open.spotify.com/track/2pnPe4pJtq7689i5ydzvJJ,Run Rudolph Run - Single Version,Chuck Berry,2021-12-10,70,"470,409",70
https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc,I Love You So,The Walters,2021-12-10,71,"462,460",71
https://open.spotify.com/track/29TPjc8wxfz4XMn21O7VsZ,Sky,Playboi Carti,2021-12-10,72,"462,028",72
